[2024-12-14 11:07:25,512] INFO day14:221 > Begin 
[2024-12-14 11:07:25,523] INFO day14:91 > Room Size:
Height=103, Width=101
ROBOT   0 | P:  77,  59 | V:   2, -23
ROBOT 205 | P:  16,  46 | V: -47,  -9
ROBOT 206 | P:  14,  63 | V:  95,   9
ROBOT 207 | P:  83,  39 | V: -34, -88
ROBOT 208 | P:   2,  51 | V: -95,  77
ROBOT 209 | P:  57,  20 | V:  -9,  25
ROBOT 210 | P:  87,   1 | V:  90, -11
ROBOT 211 | P:  55,  40 | V: -95, -83
ROBOT 212 | P:  96,  60 | V:  -2,  -9
ROBOT 213 | P:  86,  12 | V:  58,  70
ROBOT 214 | P:  54,  57 | V:  33,  37
ROBOT 215 | P:  16,  88 | V: -91, -83
ROBOT 216 | P:  56,  13 | V:  39, -38
ROBOT 217 | P:  70,  21 | V:  84,  11
ROBOT 218 | P:   4,  17 | V:  90, -17
ROBOT 219 | P:  45,  18 | V: -50, -50
ROBOT 220 | P:  77,   7 | V: -63, -88
ROBOT 221 | P:   2,  59 | V: -54, -59
ROBOT 222 | P:  62,  81 | V: -22,   8
ROBOT 223 | P:  72,  55 | V:  75, -47
ROBOT 224 | P:  62,  55 | V:  32,  27
ROBOT 225 | P:  57,  56 | V: -77, -89
ROBOT 226 | P:  99,  61 | V: -54,  65
ROBOT 227 | P:  73,   8 | V: -81, -12
ROBOT 228 | P:  12,  96 | V: -55,  15
ROBOT 229 | P:  44,  41 | V:   8,  30
ROBOT 230 | P:  96,  53 | V:  35,  19
ROBOT 231 | P:  26,  65 | V:  64, -38
ROBOT 232 | P:  14,  85 | V:  15,  45
ROBOT 233 | P:  98,   3 | V:  -2,  35
ROBOT 234 | P:   3,  91 | V: -56,  -7
ROBOT 235 | P:  48,   6 | V: -18, -44
ROBOT 236 | P:  60,  98 | V:  33,  21
ROBOT 237 | P:  43,  45 | V: -28, -60
ROBOT 238 | P:  38,  71 | V: -46,  13
ROBOT 239 | P:  71,  19 | V: -86, -45
ROBOT 240 | P:  99,  48 | V:  31,  61
ROBOT 241 | P:  58,  29 | V:  52, -31
ROBOT 242 | P:  65,  94 | V:  52, -12
ROBOT 243 | P:  22,  22 | V:  78, -78
ROBOT 244 | P:  98,  62 | V:  83, -11
ROBOT 245 | P:  76,  74 | V: -72,  93
ROBOT 246 | P:  19,  82 | V: -39,  58
ROBOT 247 | P:  72,  81 | V:  -9,  41
ROBOT 248 | P:  85,  92 | V: -62,  17
ROBOT 249 | P:  10,   4 | V:   5, -61
ROBOT 250 | P:  70,  49 | V: -40,  79
ROBOT 251 | P:   4,  21 | V:  81, -31
ROBOT 252 | P:  99,   8 | V:  67,  44
ROBOT 253 | P:  85,  34 | V: -34, -19
ROBOT 254 | P:   1,  31 | V:  19, -19
ROBOT 255 | P:  71, 101 | V: -12, -77
ROBOT 256 | P:  15,  81 | V: -24, -90
ROBOT 257 | P:  83,  79 | V: -17, -52
ROBOT 258 | P:  48,  91 | V:  97, -11
ROBOT 259 | P:  51,  57 | V: -18,  -5
ROBOT 260 | P:  34,  25 | V: -92,  25
ROBOT 261 | P:  50,   8 | V: -96, -96
ROBOT 262 | P:  71,   5 | V:  94,  86
ROBOT 263 | P:  16,  49 | V:  25, -88
ROBOT 264 | P:  45,   2 | V: -37,  39
ROBOT 265 | P:  43,  23 | V: -79,  67
ROBOT 266 | P:  36,  41 | V: -73,  70
ROBOT 267 | P:  42,  45 | V: -26, -22
ROBOT 268 | P:  29, 100 | V:   4, -55
ROBOT 269 | P:  60,  98 | V: -40, -27
ROBOT 270 | P:  57,  21 | V:  -7, -58
ROBOT 271 | P:  96,  22 | V:  21, -60
ROBOT 272 | P:  36,  97 | V: -43,  -1
ROBOT 273 | P:   1,  94 | V: -94,  91
ROBOT 274 | P:  45,  60 | V: -78,  37
ROBOT 275 | P:  27,   6 | V:  85, -51
ROBOT 276 | P:  48,  12 | V:  64,  71
ROBOT 277 | P:  89,  75 | V: -81,   8
ROBOT 278 | P:  76,  51 | V: -21,  14
ROBOT 279 | P:  71,  13 | V:  20, -13
ROBOT 280 | P:  90,   9 | V:  43, -31
ROBOT 281 | P:  33,   4 | V: -69,  31
ROBOT 282 | P:  54,  65 | V: -31,  84
ROBOT 283 | P:  61,  87 | V:  56, -67
ROBOT 284 | P:  34,  42 | V: -92,  61
ROBOT 285 | P:   2,   5 | V: -43,  58
ROBOT 286 | P:  44,   2 | V:  55, -63
ROBOT 287 | P:  66,  50 | V: -89,  76
ROBOT 288 | P:  24,  77 | V: -95, -71
ROBOT 289 | P:  15,  11 | V:  97, -88
ROBOT 290 | P:  95,  58 | V:   6,  14
ROBOT 291 | P:  70,  72 | V:  -8, -57
ROBOT 292 | P:  30,  84 | V:  68,  44
ROBOT 293 | P:   8,  67 | V: -84, -19
ROBOT 294 | P:  54,  44 | V: -59, -91
ROBOT 295 | P:  69,  42 | V:  -8, -93
ROBOT 296 | P:  40,  27 | V: -18, -13
ROBOT 297 | P:  17,  38 | V: -20, -93
ROBOT 298 | P:  79,  37 | V:  66, -51
ROBOT 299 | P:  77,  10 | V:  52,  48
ROBOT 300 | P:  18,  77 | V:  85,  71
ROBOT 301 | P:  45,   2 | V:  48,  15
ROBOT 302 | P:  93,  98 | V:  26,  53
ROBOT 303 | P:  97,  57 | V:  44,  52
ROBOT 304 | P:  91,  80 | V:  94,  83
ROBOT 305 | P:  71,  54 | V:  -5,  91
ROBOT 306 | P:  32,  33 | V:  87,  76
ROBOT 307 | P:  21,  59 | V:  31,  56
ROBOT 308 | P:  76,  78 | V: -30, -66
ROBOT 309 | P:  39,  45 | V: -87,  90
ROBOT 310 | P:  46,  84 | V: -50, -76
ROBOT 311 | P:  65, 102 | V: -77, -30
ROBOT 312 | P:   5,  46 | V: -75, -84
ROBOT 313 | P:   5,  33 | V: -94,   6
ROBOT 314 | P:   6,  50 | V: -51, -94
ROBOT 315 | P:  74,  26 | V: -58, -27
ROBOT 316 | P:  29,  62 | V:  26, -32
ROBOT 317 | P:  18,  89 | V:  87, -63
ROBOT 318 | P:  66,  31 | V: -94,  46
ROBOT 319 | P:  23,  27 | V: -42,  67
ROBOT 320 | P:  47,  36 | V: -87, -88
ROBOT 321 | P:  11,  92 | V: -75, -76
ROBOT 322 | P:   9,  51 | V:  -1,  19
ROBOT 323 | P:  52,   0 | V:  28, -35
ROBOT 324 | P:  68,  72 | V: -63,  10
ROBOT 325 | P:  41,  46 | V: -32,  75
ROBOT 326 | P:  99,  42 | V:  99,  94
ROBOT 327 | P:  98,  29 | V:   3,  45
ROBOT 328 | P:  61,  69 | V: -45, -52
ROBOT 329 | P:  50,  66 | V:  66,   8
ROBOT 330 | P:   3,  41 | V:  40,  71
ROBOT 331 | P:  83,  45 | V: -85, -23
ROBOT 332 | P:   0,  34 | V:   3, -93
ROBOT 333 | P:  54,  49 | V:  88, -23
ROBOT 334 | P:  65,  50 | V:  57, -38
ROBOT 335 | P:  37,  34 | V:  38, -86
ROBOT 336 | P: 100,  77 | V:  13, -23
ROBOT 337 | P:  80,  39 | V: -13,  32
ROBOT 338 | P:  31, 102 | V:  -1,  16
ROBOT 339 | P:  62,  64 | V:  15,   9
ROBOT 340 | P:  48,  13 | V: -73, -87
ROBOT 341 | P:  69,  19 | V: -95,  16
ROBOT 342 | P:  50,  89 | V:  75, -85
ROBOT 343 | P:  45,  33 | V: -96, -37
ROBOT 344 | P:  13,  75 | V:  77,  60
ROBOT 345 | P:  17,  43 | V:  91, -41
ROBOT 346 | P:  17,  99 | V:  45, -86
ROBOT 347 | P:  68,  20 | V:  40,  66
ROBOT 348 | P:  47,  11 | V: -37, -12
ROBOT 349 | P:  64,  85 | V:  56,   2
ROBOT 350 | P:  46,  30 | V:  92,  43
ROBOT 351 | P:  84,  57 | V: -99, -14
ROBOT 352 | P:  55,  18 | V:  46, -46
ROBOT 353 | P:  42,  87 | V:  64, -34
ROBOT 354 | P:  94,  96 | V:  57,  16
ROBOT 355 | P:  20,  14 | V: -24,   2
ROBOT 356 | P:  52,  44 | V:  33,  -9
ROBOT 357 | P:   4,  95 | V:   7, -76
ROBOT 358 | P:  99,  25 | V: -74,  87
ROBOT 359 | P:  78,  31 | V:  95, -69
ROBOT 360 | P:  79,  21 | V: -55,  32
ROBOT 361 | P:  20,  25 | V:  68,  15
ROBOT 362 | P:  77, 102 | V:   2, -82
ROBOT 363 | P:  45,  29 | V: -91, -31
ROBOT 364 | P:  10,  55 | V:  19,  55
ROBOT 365 | P:  74,   0 | V:  75, -92
ROBOT 366 | P:  38,  64 | V: -23,  70
ROBOT 367 | P:  10,  99 | V:  58, -65
ROBOT 368 | P:   8,  73 | V:  97,  41
ROBOT 369 | P:  43,  26 | V:  32,  66
ROBOT 370 | P:  73,  96 | V:  20, -91
ROBOT 371 | P:  30,  27 | V: -81,  77
ROBOT 372 | P:  13,   0 | V: -38, -82
ROBOT 373 | P:  18,  37 | V: -42,  15
ROBOT 374 | P:  57,  40 | V:  19,  43
ROBOT 375 | P:  25,  68 | V:  82,  32
ROBOT 376 | P:  10,   2 | V: -80, -59
ROBOT 377 | P:   0,  85 | V:  12, -86
ROBOT 378 | P:  60,  18 | V:  68,  21
ROBOT 379 | P:  39,  86 | V: -69, -53
ROBOT 380 | P:  98,   0 | V:  26, -35
ROBOT 381 | P:  58,  17 | V:   1, -69
ROBOT 382 | P:  38,  44 | V: -65, -86
ROBOT 383 | P:  24,  28 | V: -47, -45
ROBOT 384 | P:  20,  27 | V:   9, -23
ROBOT 385 | P:   0,  65 | V:  77, -15
ROBOT 386 | P:  95,  71 | V:  94,  78
ROBOT 387 | P:  68,  77 | V:  93,  55
ROBOT 388 | P:  77,   3 | V: -42,  17
ROBOT 389 | P:  94,   4 | V:  53,  68
ROBOT 390 | P:  97,  28 | V: -29,  -9
ROBOT 391 | P:  54,  84 | V:  50,  67
ROBOT 392 | P:  81,  70 | V:  21, -52
ROBOT 393 | P:  68,  10 | V:  46,  99
ROBOT 394 | P:  29,  34 | V: -88, -64
ROBOT 395 | P:  79,  77 | V:  80,  -6
ROBOT 396 | P:  54,  66 | V: -13, -52
ROBOT 397 | P:  67,  50 | V:   7,  60
ROBOT 398 | P:  20,   1 | V:  32, -96
ROBOT 399 | P:  29,   4 | V: -83,  49
ROBOT 400 | P:  70,  35 | V:  70, -13
ROBOT 401 | P:  59,  40 | V: -22,  80
ROBOT 402 | P:  73,  47 | V:  -3,  66
ROBOT 403 | P:  88,  13 | V:  85, -36
ROBOT 404 | P:  21,  80 | V:  55,  64
ROBOT 405 | P:  37,  28 | V: -32, -97
ROBOT 406 | P:  88,   0 | V:  98,  73
ROBOT 407 | P:  68,  59 | V:  29, -14
ROBOT 408 | P:  90,  87 | V:  62,  31
ROBOT 409 | P:  76,  13 | V:  11, -31
ROBOT 410 | P:  19,  23 | V:  44,  97
ROBOT 411 | P:  25,  46 | V:  77, -66
ROBOT 412 | P:  95,  41 | V:  70, -63
ROBOT 413 | P:   4,  11 | V:  35, -54
ROBOT 414 | P:  83,  30 | V: -23, -31
ROBOT 415 | P:   0,  26 | V: -97,  53
ROBOT 416 | P:  29,  96 | V:  73,  21
ROBOT 417 | P:   5,  51 | V:  81,  28
ROBOT 418 | P:  85,  41 | V: -62, -37
ROBOT 419 | P:  60,  22 | V: -45, -13
ROBOT 420 | P:  96,  27 | V:  81,  80
ROBOT 421 | P:  46,  37 | V: -73,  71
ROBOT 422 | P:  46,  30 | V:  65,  19
ROBOT 423 | P:  79,  98 | V: -12, -63
ROBOT 424 | P:  99,  33 | V: -95, -45
ROBOT 425 | P:  77,  47 | V: -44, -27
ROBOT 426 | P:  48,  97 | V: -18, -44
ROBOT 427 | P:  77,  78 | V:  -2,  11
ROBOT 428 | P:  87,  52 | V: -44,   5
ROBOT 429 | P:   4,  68 | V: -15,  23
ROBOT 430 | P:  12,  47 | V: -79,   5
ROBOT 431 | P:   5,  58 | V:  26, -61
ROBOT 432 | P:  35,  30 | V: -84,  17
ROBOT 433 | P:  45,  73 | V:  19, -33
ROBOT 434 | P:  10, 102 | V: -97, -49
ROBOT 435 | P:  70,  67 | V:  75,   9
ROBOT 436 | P:  42,  34 | V:   9, -41
ROBOT 437 | P:  12,  37 | V:  75,  39
ROBOT 438 | P:   1,   5 | V: -66,  96
ROBOT 439 | P:  78,  60 | V: -48,  -5
ROBOT 440 | P:   3,  81 | V:  40, -15
ROBOT 441 | P:  64,  51 | V:  20, -23
ROBOT 442 | P:  19,  27 | V:  91,  44
ROBOT 443 | P:  66,   4 | V:  43,  40
ROBOT 444 | P:  54,  20 | V:  43, -17
ROBOT 445 | P:  19,  51 | V:  54,  19
ROBOT 446 | P:  97,  70 | V: -15, -47
ROBOT 447 | P:  63,  91 | V:  -6, -43
ROBOT 448 | P:  72,  50 | V: -72,  14
ROBOT 449 | P:  48,  29 | V:  70,  86
ROBOT 450 | P:  69,  19 | V: -26,  95
ROBOT 451 | P:  36,  36 | V:  50,  76
ROBOT 452 | P:  51,   2 | V: -50, -54
ROBOT 453 | P:  24,  39 | V: -78, -18
ROBOT 454 | P:  50,  89 | V:  65,  -2
ROBOT 455 | P:  27,  34 | V: -51, -65
ROBOT 456 | P:   0,  48 | V:  -7, -80
ROBOT 457 | P:  12,  58 | V:   8,  51
ROBOT 458 | P:   0,  86 | V:  26,  82
ROBOT 459 | P:  15,  92 | V: -79, -40
ROBOT 460 | P:  59,  69 | V:  37, -62
ROBOT 461 | P:  17,  72 | V:  10,  28
ROBOT 462 | P:  76,  42 | V: -90,  99
ROBOT 463 | P:  59,  45 | V: -22,  32
ROBOT 464 | P:  59,  45 | V: -31, -51
ROBOT 465 | P:  98,  32 | V: -29,  47
ROBOT 466 | P:  15,  89 | V:  -1, -58
ROBOT 467 | P:  23,  90 | V:  22,  36
ROBOT 468 | P:  31,  91 | V:  50,  50
ROBOT 469 | P:  20,  69 | V:  -1,  27
ROBOT 470 | P:  18,  80 | V:  36,  74
ROBOT 471 | P:  39,  45 | V:  82, -88
ROBOT 472 | P:  42,  44 | V:  37,   5
ROBOT 473 | P:  37,  69 | V: -64, -80
ROBOT 474 | P:  32,  70 | V:  55,  32
ROBOT 475 | P:  96, 102 | V:  62,  12
ROBOT 476 | P:  48,  42 | V: -76, -41
ROBOT 477 | P:  47,  65 | V:  14,  -6
ROBOT 478 | P:  27,  97 | V:  25,  12
ROBOT 479 | P:  55,  69 | V: -55,  22
ROBOT 480 | P:  17,  76 | V:   1, -61
ROBOT 481 | P:  43,  28 | V:  28,   6
ROBOT 482 | P:  29,  25 | V:  73, -41
ROBOT 483 | P:  64,  10 | V:  34, -96
ROBOT 484 | P:  63,  41 | V:  93,  15
ROBOT 485 | P:   3,   9 | V: -52,  77
ROBOT 486 | P:  61, 100 | V:  43,  -5
ROBOT 487 | P:  54,  24 | V:   6, -79
ROBOT 488 | P:  89,  75 | V:  44, -85
ROBOT 489 | P:  79,  61 | V: -90, -94
ROBOT 490 | P:  99, 102 | V: -70,  35
ROBOT 491 | P:  39,  65 | V: -78,   4
ROBOT 492 | P:   5,  19 | V:  63,  71
ROBOT 493 | P:  93, 101 | V:  35, -44
ROBOT 494 | P:   5,  26 | V:  31, -80
ROBOT 495 | P:  27,  51 | V:  80,  37
ROBOT 496 | P:  62,  88 | V: -51, -77
ROBOT 497 | P:  75,  71 | V: -12,  27
ROBOT 498 | P:  74,  45 | V:  66,  33
ROBOT 499 | P:  22,  42 | V:  34,  67 
[2024-12-14 11:07:25,526] INFO day14:78 > Loaded 500 robots 
[2024-12-14 11:07:25,526] INFO day14:121 > STEP 1 
[2024-12-14 11:07:25,526] INFO day14:91 > Room Size:
Height=103, Width=101
ROBOT   0 | P:  79,  36 | V:   2, -23
ROBOT   1 | P:  88,  62 | V: -90,   9
ROBOT   2 | P:  96,  23 | V: -90, -77
ROBOT   3 | P:   3,  66 | V:  82, -94
ROBOT   4 | P:  45,  29 | V: -39,  60
ROBOT   5 | P:  71,  85 | V:  14, -94
ROBOT   6 | P:  51,  29 | V: -52, -63
ROBOT   7 | P:  80,  34 | V:  42, -39
ROBOT   8 | P:  12,  31 | V: -93,  41
ROBOT   9 | P:   5,  43 | V:  27, -13
ROBOT  10 | P:  10,  40 | V: -10, -68
ROBOT  11 | P:  89,  92 | V:  38,  -2
ROBOT  12 | P:  23,  40 | V: -93, -68
ROBOT  13 | P:  60,  55 | V:  56,   6
ROBOT  14 | P:  38,  38 | V:   1,  63
ROBOT  15 | P:  28,  27 | V: -18,  70
ROBOT  16 | P:  24, 101 | V: -96,  54
ROBOT  17 | P: 100,  57 | V:  21, -26
ROBOT  18 | P:  58,  76 | V:  82, -86
ROBOT  19 | P:  77,  64 | V: -51,  24
ROBOT  20 | P:  97,  99 | V: -88, -72
ROBOT  21 | P:  37,  78 | V: -22,  18
ROBOT  22 | P:  79,  91 | V: -88,  24
ROBOT  23 | P:  98,  84 | V: -67,  86
ROBOT  24 | P:  61,  79 | V: -53, -68
ROBOT  25 | P:  65,  87 | V: -80,  34
